seed,agent,acquisition_criterion,reversal_criterion,reacquisition_criterion,reacquisition_savings,early_reversal_perseveration,late_reversal_accuracy,old_value_end_acquisition,old_value_end_reversal,old_value_retention_ratio,old_slow_trace_retention_ratio,discard_fraction,suppressed_not_discarded,late_extinction_old_choice,post_rest_old_choice,spontaneous_recovery
0,random,,,,,0.5,0.525,0.0,0.0,0.0,0.0,1.0,0.0,0.43333333333333335,0.45,0.016666666666666663
0,tabular_q,40,49,40,0,0.5333333333333333,1.0,0.8785945792703629,0.13718580349927503,0.15614232859620222,0.0,0.8438576714037977,0.0,0.5,0.05,-0.45
0,metafly_dual_trace,148,51,53,95,0.6333333333333333,0.9,0.8306806335231802,0.07254581888034939,0.08733298448605879,0.37785317178880273,0.9126670155139412,0.0,0.3,0.15,-0.15
0,ablation_no_slow,62,80,40,22,1.0,0.95,0.9009656690981882,0.07555767646203772,0.08386299173604068,0.0,0.9161370082639593,0.0,0.5,0.95,0.44999999999999996
0,ablation_no_fast,40,157,40,0,0.9333333333333333,0.875,0.8646617552456097,0.14292355670168178,0.16529418103045845,0.16529418103045845,0.8347058189695415,0.0,0.5,0.1,-0.4
1,random,51,,,,0.6666666666666666,0.55,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.5,-0.09999999999999998
1,tabular_q,40,47,40,0,0.5,0.95,0.9290781331449377,0.09991369724238092,0.10754068326220548,0.0,0.8924593167377946,0.0,0.5,0.05,-0.45
1,metafly_dual_trace,40,40,40,0,0.16666666666666666,0.95,0.9043068790031612,0.14913935424969998,0.16492117633131334,0.6057741330786318,0.8350788236686867,1.0,0.5,0.0,-0.5
1,ablation_no_slow,40,48,40,0,0.5,0.925,0.8620786983762563,0.03303378757651047,0.03831876096547835,0.0,0.9616812390345216,0.0,0.5,1.0,0.5
1,ablation_no_fast,40,,102,-62,0.9333333333333333,0.0,0.8749704827116446,0.11008182719406576,0.1258120466566006,0.1258120466566006,0.8741879533433994,0.0,0.5333333333333333,0.0,-0.5333333333333333
2,random,,,,,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.5666666666666667,0.6,0.033333333333333326
2,tabular_q,40,53,40,0,0.6333333333333333,0.95,0.8743998596551882,0.07289111859033008,0.08336131094425615,0.0,0.9166386890557439,0.0,0.5,0.0,-0.5
